sensor	time	ax	ay	az
1	3647	1724	-244	15728
2	3647	-452	292	23172
1	3657	1596	-312	15576
2	3657	-528	308	23036
1	3667	1620	-256	15624
2	3667	-500	332	22988
1	3677	1644	-204	15708
2	3677	-532	356	22928
1	3687	1656	-184	15644
2	3687	-496	248	22900
1	3697	1592	-260	15772
2	3697	-516	360	23076
1	3707	1616	-264	15752
2	3707	-396	228	23120
1	3717	1524	-224	15704
2	3717	-568	312	22940
1	3727	1688	-240	15648
2	3727	-576	264	22956
1	3737	1644	-160	15752
2	3737	-524	340	22888
1	3747	1540	-364	15652
2	3747	-424	212	22976
1	3757	1592	-236	15732
2	3757	-492	276	23068
1	3767	1600	-372	15736
2	3767	-580	328	22964
1	3777	1588	-328	15736
2	3777	-544	340	22932
1	3787	1688	-276	15688
2	3787	-528	384	22964
1	3798	1600	-236	15732
2	3798	-528	340	22808
1	3807	1628	-284	15692
2	3807	-456	404	22932
1	3817	1632	-288	15756
2	3817	-440	332	23096
1	3827	1628	-324	15712
2	3827	-436	296	22924
1	3837	1616	-288	15596
2	3837	-464	272	22864
1	3847	1552	-276	15636
2	3847	-492	320	23028
1	3857	1684	-204	15628
2	3857	-460	332	22888
1	3867	1696	-296	15620
2	3867	-584	344	22976
1	3877	1648	-312	15752
2	3877	-468	340	23096
1	3887	1796	-360	15648
2	3887	-508	376	23004
1	3897	1632	-240	15752
2	3897	-476	308	22972
1	3907	1552	-260	15672
2	3907	-520	288	23036
1	3917	1668	-268	15632
2	3917	-468	356	22888
1	3927	1672	-224	15664
2	3927	-536	372	22832
1	3937	1728	-288	15820
2	3937	-532	228	23036
1	3947	1468	-268	15732
2	3947	-480	372	22872
1	3957	1712	-228	15780
2	3957	-572	332	23080
1	3968	1648	-260	15760
2	3968	-588	316	23036
1	3977	1700	-304	15764
2	3977	-440	268	23004
1	3987	1556	-316	15624
2	3987	-532	352	23036
1	3997	1680	-220	15740
2	3997	-488	328	23128
1	4007	1640	-268	15656
2	4007	-456	300	22980
1	4017	1592	-344	15712
2	4017	-512	352	23004
1	4027	1704	-268	15740
2	4027	-540	296	22988
1	4037	1628	-176	15600
2	4037	-464	340	22896
1	4047	1604	-324	15608
2	4047	-440	280	22980
1	4057	1580	-168	15688
2	4057	-416	268	22740
1	4067	1656	-268	15692
2	4067	-532	396	22948
1	4077	1644	-252	15696
2	4077	-440	324	22904
1	4087	1636	-268	15608
2	4087	-492	288	22872
1	4097	1688	-336	15744
2	4097	-540	216	23036
1	4107	1584	-308	15720
2	4107	-428	232	22976
1	4117	1532	-196	15812
2	4117	-480	396	22928
1	4127	1580	-328	15724
2	4127	-536	364	23036
1	4137	1600	-228	15608
2	4137	-604	216	22992
1	4147	1560	-272	15628
2	4147	-440	296	23092
1	4157	1652	-288	15672
2	4157	-432	296	22944
1	4167	1688	-236	15764
2	4167	-480	192	23064
1	4177	1732	-328	15676
2	4177	-488	252	23016
1	4187	1628	-232	15724
2	4187	-488	340	22872
1	4197	1600	-260	15756
2	4197	-476	324	23048
1	4207	1644	-252	15624
2	4207	-428	328	22860
1	4217	1632	-272	15820
2	4217	-552	332	22912
1	4227	1684	-284	15764
2	4227	-472	324	22924
1	4237	1652	-288	15656
2	4237	-468	372	23100
1	4247	1612	-316	15740
2	4247	-508	388	23108
1	4257	1616	-212	15688
2	4257	-448	448	23096
1	4267	1660	-256	15688
2	4267	-476	328	23048
1	4277	1660	-236	15892
2	4277	-556	220	22856
1	4287	1584	-260	15648
2	4287	-496	192	23096
1	4297	1568	-256	15860
2	4297	-544	400	22924
1	4307	1600	-288	15676
2	4307	-440	212	22896
1	4317	1580	-216	15676
2	4317	-532	284	23000
1	4327	1576	-304	15596
2	4327	-508	324	22948
1	4337	1660	-260	15700
2	4337	-480	236	23000
1	4347	1580	-404	15680
2	4347	-524	340	23052
1	4357	1612	-248	15620
2	4357	-528	436	22952
1	4367	1688	-264	15616
2	4367	-548	392	22884
1	4377	1680	-284	15740
2	4377	-520	348	22772
1	4387	1736	-212	15732
2	4387	-468	268	23184
1	4397	1680	-368	15592
2	4397	-444	280	22996
1	4407	1644	-276	15708
2	4407	-448	308	22952
1	4417	1624	-236	15728
2	4417	-428	464	23008
1	4427	1624	-236	15696
2	4427	-548	292	22928
1	4438	1552	-312	15696
2	4438	-460	364	22944
1	4447	1548	-308	15588
2	4447	-524	360	22880
1	4457	1640	-292	15660
2	4457	-476	220	22824
1	4467	1676	-320	15680
2	4467	-544	396	22928
1	4477	1572	-260	15676
2	4477	-536	368	22904
1	4487	1688	-296	15804
2	4487	-500	344	23012
1	4497	1672	-236	15588
2	4497	-512	360	23048
1	4507	1656	-264	15564
2	4507	-488	304	22908
1	4517	1672	-288	15652
2	4517	-456	296	22948
1	4527	1568	-352	15656
2	4527	-548	268	22996
1	4537	1712	-300	15596
2	4537	-584	348	22952
1	4547	1652	-200	15688
2	4547	-540	332	22844
1	4557	1608	-244	15884
2	4557	-452	364	22948
1	4567	1636	-284	15768
2	4567	-444	336	23104
1	4577	1656	-340	15708
2	4577	-500	336	22964
1	4587	1520	-308	15596
2	4587	-452	376	22984
1	4597	1616	-200	15784
2	4597	-424	392	22992
1	4608	1672	-196	15808
2	4608	-508	348	23004
1	4617	1612	-276	15748
2	4617	-552	232	23092
1	4627	1652	-196	15648
2	4627	-464	416	23084
1	4637	1564	-288	15656
2	4637	-556	192	22964
1	4647	1632	-300	15628
2	4647	-476	356	22848
1	4657	1608	-224	15640
2	4657	-448	372	22964
1	4667	1580	-260	15688
2	4667	-448	280	22908
1	4677	1704	-244	15624
2	4677	-504	304	22908
1	4687	1636	-244	15672
2	4687	-540	204	23128
1	4697	1608	-264	15640
2	4697	-468	260	22984
1	4707	1584	-328	15596
2	4707	-548	284	23076
1	4717	1636	-296	15744
2	4717	-472	248	22864
1	4727	1580	-380	15584
2	4727	-532	316	23000
1	4737	1676	-236	15820
2	4737	-440	268	22980
1	4747	1624	-188	15684
2	4747	-528	252	22964
1	4757	1732	-212	15580
2	4757	-476	376	23132
1	4767	1640	-324	15824
2	4767	-500	348	22860
1	4777	1616	-284	15816
2	4777	-476	408	22868
1	4787	1692	-264	15624
2	4787	-552	268	22940
1	4797	1664	-212	15756
2	4797	-456	160	22852
1	4807	1588	-264	15736
2	4807	-480	248	22928
1	4817	1680	-164	15608
2	4817	-460	308	23128
1	4827	1768	-344	15836
2	4827	-500	284	22988
1	4837	1580	-316	15632
2	4837	-436	264	22884
1	4847	1628	-344	15644
2	4847	-388	260	22964
1	4857	1584	-368	15640
2	4857	-524	332	23160
1	4867	1636	-412	15496
2	4867	-392	216	23004
1	4877	1620	-344	15636
2	4877	-532	368	22956
1	4887	1600	-276	15760
2	4887	-524	276	23028
1	4897	1592	-192	15664
2	4897	-496	280	23024
1	4907	1580	-244	15688
2	4907	-412	328	22832
1	4917	1636	-260	15908
2	4917	-512	332	22928
1	4927	1604	-272	15704
2	4927	-552	444	22972
1	4937	1584	-272	15648
2	4937	-460	288	23072
1	4947	1644	-232	15588
2	4947	-576	340	22876
1	4957	1612	-308	15620
2	4957	-464	276	23120
1	4967	1588	-276	15588
2	4967	-508	404	23056
1	4977	1556	-296	15760
2	4977	-540	256	23204
1	4987	1576	-244	15760
2	4987	-448	348	22804
1	4997	1536	-316	15692
2	4997	-516	288	22948
1	5007	1704	-316	15752
2	5007	-568	324	22976
1	5017	1684	-204	15728
2	5017	-408	396	22932
1	5027	1644	-268	15760
2	5027	-552	316	22888
1	5037	1700	-196	15888
2	5037	-452	192	22964
1	5047	1568	-256	15776
2	5047	-552	352	22988
1	5057	1712	-284	15840
2	5057	-464	344	23000
1	5067	1608	-364	15596
2	5067	-500	380	22836
1	5078	1660	-212	15720
2	5078	-448	380	23016
1	5087	1648	-192	15736
2	5087	-496	300	23000
1	5097	1636	-160	15796
2	5097	-488	308	23032
1	5107	1644	-272	15692
2	5107	-432	312	23056
1	5117	1528	-324	15708
2	5117	-572	392	23056
1	5127	1624	-240	15680
2	5127	-468	324	22924
1	5137	1624	-412	15728
2	5137	-464	204	23068
1	5147	1640	-256	15900
2	5147	-488	268	23144
1	5157	1608	-276	15632
2	5157	-416	292	23032
1	5167	1600	-200	15600
2	5167	-508	320	22908
1	5177	1680	-232	15664
2	5177	-408	344	22964
1	5187	1680	-268	15540
2	5187	-540	352	23032
1	5197	1608	-188	15660
2	5197	-436	308	22804
1	5207	1556	-316	15804
2	5207	-588	316	22840
1	5217	1684	-272	15804
